Area,headline,summary
कोटा,कोटा के एक कॉलेज में हेलमेट पहनकर पहुंचे छात्रों ने हर किसी का ध्यान अपनी ओर आकर्षित किया। यह अनोखा कदम उनके बढ़ते दबाव और प्रतिस्पर्धा के बीच मानसिक तनाव को दर्शाता है। इस अनोखी पहल ने सोशल मीडिया और छात्र समुदाय में खासी चर्चा बटोरी और लोगों को छात्रों के मानसिक स्वास्थ्य के प्रति सोचने पर मजबूर किया।,जर्जर बिल्डिंग की मरम्मत की मांग उठाई गई है। यह मांग उठाई गई है कि तब तक छुट्टी घोषित की जाए जब तक कि जांच पूरी नहीं हो जाती।
कोटा,सेंट्रल बैंक के पहले तल पर आग लगने की घटना सामने आई है।,बैंक कर्मचारियों ने धुएं को देखकर बाहर निकला। कंप्यूटर सिस्टम पूरी तरह से जलकर खाक हो गया।
कोटा,"कोटा में एक सेवानिवृत्त असिस्टेंट सब-इंस्पेक्टर (ASI) को तीन साल की जेल की सजा सुनाई गई है। यह फैसला कोटा की एक अदालत ने सुनाया है। इस मामले में अदालत ने आवश्यक सबूतों और गवाहियों के आधार पर यह निर्णय लिया। सजा के साथ ही, अदालत ने कानूनी प्रक्रिया का पालन करते हुए अन्य आवश्यक कानूनी कदम भी उठाए हैं। यह मामला कोटा जिले में ही सामने आया था और इसकी जांच स्थानीय पुलिस ने की थी।",एक मारपीट के मामले में कार्रवाई न करने के बदले में रिश्वत लेने के मामले में 20 साल बाद फैसला सुनाया गया है।
कोटा,एक युवक एक पानी से भरे गड्ढे में नहाते समय डूब गया और उसकी मौत हो गई।,"साइकिल, कपड़े और मोबाइल मिल गए हैं, जो घर से काम का कहकर निकले थे।"
कोटा,कोटा में विद्युत करंट के कारण चार भैंसों की मौत हो गई। यह दुर्भाग्यपूर्ण घटना स्थानीय किसानों के लिए एक बड़ा नुकसान है।,"देवनारायण योजना में डीपी बारिश के पानी से भर गया था, जहां करंट दौड़ रहा था।"
कोटा,एक व्यक्ति ने ATM कार्ड बदलकर 33 हजार रुपये निकाले हैं।,एक युवक ड्राइवर के पीछे खड़े होकर ने पिन देखा; मदद के बहाने उसे फंसाया।
कोटा,"कोटा से इंदरगढ़ लाखेरी मार्ग पर रोडवेज बसों का संचालन नहीं हुआ, जिससे यात्रियों को परेशानी का सामना करना पड़ा।","लाखेरी में मेज नदी का जल स्तर बढ़ गया है, जिससे पुल के ऊपर पानी चढ़ गया है। इसके चलते कोटा लालसोट मेगा हाइवे पर यातायात प्रभावित हुआ है।"
कोटा,वेस्ट सेंट्रल रेलवे श्रमिक संघ के द्वारा रखी गई 36 मांगें,"नई दिल्ली में एक त्रि-वार्षिक सम्मेलन का आयोजन किया जाएगा, जिसमें 18 जोनल रेलवे और प्रोडक्शन यूनिट्स के प्रतिनिधि भाग लेंगे।"
कोटा,"कोटा में शनिवार को चार घंटे तक बिजली सेवा बाधित रही, जिससे क्षेत्र में नागरिकों को परेशानी का सामना करना पड़ा।",सुबह 10 बजे से दोपहर 2 बजे तक पावर कट किया जाएगा। जानें कौन-कौन से इलाके इस शटडाउन के दायरे में आएंगे।
कोटा,कोटा में एक घर के बाहर रखी साइकिल चोरी हो गई।,महज 20 सेकंड के भीतर दो नाबालिगों का अपहरण कर फरार हो गए; पुलिस दोनों की तलाश में जुटी है।
रामगंज मंडी,सेवानिवृत्त होने के तुरंत बाद थाना अधिकारी ने भारतीय जनता पार्टी का दामन थाम लिया।,"रामगंजमंडी में मंत्री मदन दिलावर का स्वागत किया गया, उन्होंने कहा - अब जनसेवा का संकल्प लिया है।"
इटावा (कोटा),इटावा के रामोला विनायका मंदिर में चोरी की घटना सामने आई है। चोरों ने मंदिर के ऊपरी हिस्से से घुसकर यह वारदात को अंजाम दिया। उन्होंने मंदिर में रखे चांदी के बर्तन और अन्य मूल्यवान सामान पार कर दिए। स्थानीय लोगों ने इस घटना की जानकारी पुलिस को दी। पुलिस ने मामला दर्ज कर लिया और जांच शुरू कर दी है। पुलिस ने आसपास के सीसीटीवी फुटेज खंगाले और गवाहों से पूछताछ की। इस घटना से इलाके में तनाव फैल गया और लोगों में आक्रोश है। पुलिस ने लोगों से शांति बनाए रखने की अपील की है।,चोरों ने ताला तोड़कर स्वर्ण और रजत के आभूषण सहित छत्र चुरा लिया। इस घटना में 7 से 8 लाख रुपये का सामान चोरी हुआ।
इटावा (कोटा),जिले के कलक्टर और पुलिस अधीक्षक ने संयुक्त रूप से बाढ़ से प्रभावित क्षेत्रों का दौरा किया। उन्होंने बाढ़ के कारण हुए नुकसान का आकलन किया और राहत कार्यों की समीक्षा की।,खातोली में पार्वती नदी का जलस्तर बढ़ने से इलाके में बाढ़ जैसे हालात बन गए हैं। इस स्थिति से निपटने के लिए एसडीआरएफ और एनडीआरएफ की टीमें मौके पर तैनात की गई हैं।
